SKYSCAN_1272 TEST RESULTS 	

Instrument SN: 15G09089-B
Control software version: 1.1.7
X-Ray Source: HAMAMATSU_L11871_20
Emission: 304 hours	
Voltage: 80kV,	 Current: 125uA	 CCD chip:20.4C
Date and Time: Aug 29, 2016  08:49:27

    test start

id	time	intensity	CCD chip
379	00h:44m:00s	46.7%	19.8C
380	00h:44m:07s	46.7%	19.8C
381	00h:44m:14s	46.7%	19.8C
382	00h:44m:20s	46.7%	19.8C
383	00h:44m:27s	46.7%	19.8C
384	00h:44m:34s	46.7%	19.8C
385	00h:44m:41s	46.7%	19.8C
386	00h:44m:48s	46.7%	19.8C
387	00h:44m:55s	46.7%	19.8C
388	00h:45m:02s	46.7%	19.8C
389	00h:45m:09s	46.7%	19.8C
390	00h:45m:16s	46.7%	19.8C
391	00h:45m:23s	46.7%	19.8C
392	00h:45m:30s	46.7%	19.8C
393	00h:45m:37s	46.7%	19.8C
394	00h:45m:44s	46.7%	19.8C
395	00h:45m:51s	46.7%	19.8C
396	00h:45m:58s	46.7%	19.8C
397	00h:46m:05s	46.7%	19.8C
398	00h:46m:12s	46.7%	19.8C
399	00h:46m:20s	46.7%	19.8C
400	00h:46m:27s	46.6%	19.8C
401	00h:46m:34s	46.7%	19.8C
402	00h:46m:41s	46.7%	19.8C
403	00h:46m:48s	46.7%	19.8C
404	00h:46m:55s	46.7%	19.8C
405	00h:47m:02s	46.7%	19.8C
406	00h:47m:09s	46.6%	19.8C
407	00h:47m:16s	46.6%	19.8C
408	00h:47m:23s	46.7%	19.8C
409	00h:47m:30s	46.7%	19.8C
410	00h:47m:37s	46.7%	19.8C
411	00h:47m:44s	46.7%	19.8C
412	00h:47m:51s	46.7%	19.8C
413	00h:47m:58s	46.7%	19.8C
414	00h:48m:05s	46.7%	19.8C
415	00h:48m:12s	46.7%	19.8C
416	00h:48m:19s	46.7%	19.8C
417	00h:48m:26s	46.6%	19.8C
418	00h:48m:33s	46.6%	19.8C
419	00h:48m:41s	46.7%	19.8C
420	00h:48m:48s	46.6%	19.8C
421	00h:48m:55s	46.6%	19.8C
422	00h:49m:02s	46.6%	19.8C
423	00h:49m:09s	46.7%	19.8C
424	00h:49m:16s	46.7%	19.8C
425	00h:49m:23s	46.6%	19.8C
426	00h:49m:30s	46.7%	19.8C
427	00h:49m:37s	46.6%	19.8C
428	00h:49m:44s	46.7%	19.8C
429	00h:49m:51s	46.6%	19.8C
430	00h:49m:58s	46.6%	19.8C
431	00h:50m:06s	46.7%	19.8C
432	00h:50m:12s	46.7%	19.8C
433	00h:50m:19s	46.7%	19.8C
434	00h:50m:26s	46.6%	19.8C
435	00h:50m:33s	46.7%	19.8C
436	00h:50m:40s	46.7%	19.8C
437	00h:50m:47s	46.7%	19.8C
438	00h:50m:54s	46.7%	19.8C
439	00h:51m:01s	46.7%	19.8C
440	00h:51m:08s	46.7%	19.8C
441	00h:51m:15s	46.7%	19.8C
442	00h:51m:22s	46.7%	19.8C
443	00h:51m:29s	46.7%	19.8C
444	00h:51m:36s	46.7%	19.8C
445	00h:51m:43s	46.7%	19.8C
446	00h:51m:50s	46.7%	19.8C
447	00h:51m:57s	46.7%	19.8C
448	00h:52m:04s	46.7%	19.8C
449	00h:52m:11s	46.6%	19.8C
450	00h:52m:18s	46.6%	19.8C
451	00h:52m:26s	46.6%	19.8C
452	00h:52m:33s	46.6%	19.8C
453	00h:52m:40s	46.6%	19.8C
454	00h:52m:47s	46.6%	19.8C
455	00h:52m:54s	46.7%	19.8C
456	00h:53m:01s	46.6%	19.8C
457	00h:53m:08s	46.7%	19.8C
458	00h:53m:15s	46.7%	19.8C
459	00h:53m:22s	46.7%	19.8C
460	00h:53m:29s	46.6%	19.8C
461	00h:53m:37s	46.7%	19.8C
462	00h:53m:44s	46.7%	19.8C
463	00h:53m:51s	46.7%	19.8C
464	00h:53m:58s	46.6%	19.8C
465	00h:54m:04s	46.6%	19.8C
466	00h:54m:11s	46.7%	19.8C
467	00h:54m:18s	46.7%	19.8C
468	00h:54m:25s	46.7%	19.8C
469	00h:54m:32s	46.7%	19.8C
470	00h:54m:39s	46.7%	19.8C
471	00h:54m:47s	46.7%	19.8C
472	00h:54m:54s	46.7%	19.8C
473	00h:55m:01s	46.6%	19.8C
474	00h:55m:08s	46.6%	19.8C
475	00h:55m:15s	46.6%	19.8C
476	00h:55m:22s	46.7%	19.8C
477	00h:55m:29s	46.6%	19.8C
478	00h:55m:35s	46.6%	19.8C
479	00h:55m:42s	46.7%	19.8C
480	00h:55m:49s	46.6%	19.8C
481	00h:55m:57s	46.7%	19.8C
482	00h:56m:04s	46.6%	19.8C
483	00h:56m:11s	46.6%	19.8C
